id,plu,category,commodity,variety,size,botanical,aka
157,3157,Fruits,GRAPEFRUIT,White,Extra Large,Citrus paradisi,
158,3158,Fruits,GRAPEFRUIT,White,Extra Large,Citrus paradisi,
159,3159,Fruits,GRAPEFRUIT,White,Extra Large,Citrus paradisi,
160,3160,Vegetables,GAI LAN,Synonymous with Chinese Broccoli,All Sizes,Brassica oleracea,
161,3161,Vegetables,GAI (GUI) CHOY (CHINESE or INDIAN MUSTARD),Baby - Chinese or Indian Mustard,All Sizes,Brassica juncea,
162,3162,Vegetables,ONG CHOY,Synonymous with Water Spinach,All Sizes,Ipomoea aquatica,
163,3163,Vegetables,BOK CHOY (PAK CHOI),Shanghai,All Sizes,Brassica rapa,
164,3164,Vegetables,YU CHOY,,All Sizes,Brassica rapa,
165,3165,Vegetables,RADICCHIO,Treviso,All Sizes,Cichorium intybus,
166,3166,Vegetables,CABBAGE,Tuscan,All Sizes,Brassica oleracea,Lacinato Kale
167,3167,Vegetables,FRISEE,,All Sizes,Cichorium endivia,
168,3168,Vegetables,RADICCHIO,Castlefranco,All Sizes,Cichorium intybus,
169,3169,Vegetables,LETTUCE,Catalogna,All Sizes,Lactuca sativa,
271,3271,Fruits,APPLES,Virginia Gold,All Sizes,Malus domestica,
272,3272,Fruits,APPLES,Sommerfeld,All Sizes,Malus domestica,
273,3273,Vegetables,BEETS,Golden,All Sizes,Beta vulgaris,
274,3274,Fruits,PRUNES,Fresh,All Sizes,Prunus domestica,
275,3275,Vegetables,NAME,Yellow (nyAH-may),All Sizes,Dioscorea trifidia,
276,3276,Vegetables,NAME,White (nyAH-may),All Sizes,Dioscorea trifidia,
277,3277,Vegetables,BROCCOLI,Baby,All Sizes,Brassica oleracea,
278,3278,Fruits,PLUMCOT (INTERSPECIFIC PLUM),,All Sizes,Prunus spp.,Pluot®
279,3279,Fruits,KIWIFRUIT,Golden,All Sizes,A.chinensis,
280,3280,Fruits,KIWIFRUIT,Regular,Jumbo,Actinidia deliciosa,
281,3281,Fruits,MELON,"Watermelon - Orange, Seedless",All Sizes,Citrullus lanatus,
282,3282,Vegetables,TOMATOES,Plum/Italian/Saladette/Roma on the vine - Red,All Sizes,Lycopersicon esculenta,
283,3283,Fruits,APPLES,Honeycrisp,Large,Malus domestica,
284,3284,Fruits,APPLES,Red Delicious,Extra Large,Malus domestica,
285,3285,Fruits,APPLES,Golden Delicious,Extra Large,Malus domestica,
286,3286,Vegetables,ONIONS,Sweet red Italian - flat,All Sizes,Allium spp.,
287,3287,Fruits,BANANAS,Hawaiian plantain,All Sizes,Musa spp.,
289,3289,Fruits,MELON,Sprite,All Sizes,Cucumis melo,
290,3290,Fruits,APPLES,Aurora/Southern Rose,Large,Malus domestica,
291,3291,Fruits,APPLES,Boskoop/Belle de Boskoop,Small,Malus domestica,
292,3292,Fruits,APPLES,Boskoop/Belle de Boskoop,Large,Malus domestica,
293,3293,Fruits,APPLES,Scifresh,Small,Malus domestica,Jazz
294,3294,Fruits,APPLES,Scifresh,Large,Malus domestica,Jazz
295,3295,Fruits,APPLES,Sciearly,Small,Malus domestica,Pacific Beauty
296,3296,Fruits,APPLES,Sciearly,Large,Malus domestica,Pacific Beauty
297,3297,Fruits,APPLES,Scired,All Sizes,Malus domestica,Pacific Queen
298,3298,Fruits,APPLES,Redfield,All Sizes,Malus domestica,Mahana Red
299,3299,Fruits,APPLES,Sonya,Small,Malus domestica,
300,3300,Fruits,APPLES,Sonya,Large,Malus domestica,
301,3301,Fruits,APPLES,Cripps Red,Large,Malus domestica,"JOYA, Sundowner"
302,3302,Fruits,APRICOTS,Regular,Large,Prunus armeniaca,
303,3303,Fruits,BABACO,,All Sizes,,
304,3304,Fruits,BERRIES,Loganberries,All Sizes,Rubus loganobaccus,
305,3305,Fruits,CURRANTS,Black,All Sizes,Ribes nigrum,
306,3306,Fruits,MELON,Charentais,Medium,Cucumis melo,
307,3307,Fruits,MELON,Charentais,Extra Large,Cucumis melo,
308,3308,Fruits,MELON,"Watermelon - Orange, Seedless",All Sizes,Citrullus lanatus,
309,3309,Fruits,ORANGES,Lima,All Sizes,Citrus spp.,
310,3310,Fruits,ORANGES,Pera,All Sizes,Citrus spp.,
311,3311,Fruits,PASSION FRUIT,Curuba/Banana,All Sizes,Passiflora mollissima,
312,3312,Fruits,PASSION FRUIT,Granadilla - Yellow/Maracuja,All Sizes,Passiflorae.var. flavicarpa,
313,3313,Fruits,PEACHES,White Flesh - Tree Ripened/ Ready-to-eat,Small,Prunus persica,
314,3314,Fruits,PEACHES,White Flesh - Tree Ripened/ Ready-to-eat,Large,Prunus persica,
315,3315,Fruits,APPLES,Scilate,Small,Malus domestica,ENVY
316,3316,Fruits,PEARS,Carmen,All Sizes,Pyrus spp.,
317,3317,Fruits,PEARS,Angelys,All Sizes,Pyrus spp.,
318,3318,Fruits,PEARS,Passe Crassane,Large,Pyrus spp.,
319,3319,Fruits,PITAHAYA,Yellow (skin color),All Sizes,Hylocereus lindatus,
320,3320,Vegetables,CAULIFLOWER,Romanesco/Broccoflower/Caulibroc,All Sizes,Brassica oleracea,
321,3321,Vegetables,CELERY ROOT/CELERIAC,With leaves attached,All Sizes,Apium graveolens,
322,3322,Vegetables,CHOY SUM/PAK CHOI SUM,,All Sizes,Brassica rapa,
323,3323,Vegetables,CHOY SUM/PAK CHOI SUM,Baby,All Sizes,Brassica rapa,
324,3324,Vegetables,ESCAROLE/BATAVIAN CHICORY,Red,All Sizes,Cichorium endivia,
325,3325,Vegetables,LETTUCE,Lollo Bionda/Coral - Green,All Sizes,Lactuca sativa,
326,3326,Vegetables,LETTUCE,Lollo Rossa/Coral - Red,All Sizes,Lactuca sativa,
327,3327,Vegetables,LETTUCE,Mignonette (Compact red-tinged butterhead varieties),All Sizes,Lactuca sativa,
328,3328,Vegetables,LETTUCE,"Mixed small-leaf salad (eg Sucrine, Mesclun, Rocket/Arugula)",All Sizes,Lactuca sativa,
329,3329,Vegetables,LETTUCE,Oak Leaf - Green,All Sizes,Lactuca sativa,
330,3330,Vegetables,LETTUCE,Oak Leaf - Reg,All Sizes,Lactuca sativa,
331,3331,Vegetables,ONIONS,Red Fresh - Bunch,All Sizes,Allium spp.,
332,3332,Vegetables,SPINACH,Baby,All Sizes,Spinach oleracea,
333,3333,Vegetables,SWEET POTATO/YAM/KUMARA,Red/Orangy White Flesh,Small,Ipomoea batato,
334,3334,Vegetables,SWEET POTATO/YAM/KUMARA,Red/Orangy White Flesh,Large,Ipomoea batato,
335,3335,Vegetables,TOMATOES,Cocktail/Intermediate - Red/On the Vine (Truss),All Sizes,Lycopersicon esculenta,
336,3336,Vegetables,TOMATOES,Cocktail/Intermediate - Red/Plum/Italian/Saladette/Roma/On the Vine (Truss),All Sizes,Lycopersicon esculenta,
337,3337,Dried Fruits,FIGS,(Dried Fruit),All Sizes,Ficus carica,
338,3338,Herbs,ANISE,,All Sizes,,
339,3339,Fruits,APPLES,Belchard - Chantecler,All Sizes,Malus domestica,
340,3340,Fruits,APPLES,Bertanne/Golden Russet,All Sizes,Malus domestica,
341,3341,Fruits,APPLES,Charles Ross,All Sizes,Malus domestica,
342,3342,Fruits,APPLES,Delblush,All Sizes,Malus domestica,Tentation
343,3343,Fruits,APPLES,Dessert,All Sizes,Malus domestica,
344,3344,Fruits,APPLES,Gloster,Small,Malus domestica,
345,3345,Fruits,APPLES,Gloster,Large,Malus domestica,
346,3346,Fruits,APPLES,Holstein,All Sizes,Malus domestica,
347,3347,Fruits,APPLES,Laxtons Fortune,All Sizes,Malus domestica,
348,3348,Fruits,APPLES,Lord Lambourne,All Sizes,Malus domestica,
349,3349,Fruits,APPLES,Michaelmas Red,All Sizes,Malus domestica,
350,3350,Fruits,APPLES,Reine des Reinettes/King of the Pippins,Small,Malus domestica,
351,3351,Fruits,APPLES,Reine des Reinettes/King of the Pippins,Large,Malus domestica,
352,3352,Fruits,APPLES,"Reinettes and Heritage varieties - (incl Canada blanc Reinette du Mans, Armorique/du Vigan/Calville",All Sizes,Malus domestica,
353,3353,Fruits,APPLES,St Edmunds Pippin,All Sizes,Malus domestica,
354,3354,Fruits,AVOCADOS,Ripe/Ready-to-Eat,All Sizes,Persea americana,
355,3355,Fruits,BERRIES,Strawberries - Nominal 500g/1 litre,All Sizes,Fragaria ananassa,
356,3356,Fruits,BERRIES,Strawberries - Nominal250g/1/2 litre,All Sizes,Fragaria ananassa,
357,3357,Fruits,CHERRIES,Regular/Red/Black,Small,Prunus avium,
358,3358,Fruits,CHERRIES,Regular/Red/Black,Large,Prunus avium,
359,3359,Fruits,GRAPES,Chasselas,All Sizes,Vitis vinifera,
360,3360,Fruits,GRAPES,Muscat de Hambourg,All Sizes,Vitis vinifera,
361,3361,Fruits,GRAPEFRUIT,Without p/harvest treatment,All Sizes,Citrus paradisi,
362,3362,Fruits,LEMONS,Without postharvest treatment,All Sizes,Citrus limon,
363,3363,Fruits,MANGO,Kensington Pride,All Sizes,Mangifera indica,Bowen
364,3364,Fruits,MANGO,R2E2,All Sizes,Mangifera indica,
365,3365,Fruits,MANGO,Ripe/Ready-to-Eat,All Sizes,Mangifera indica,
366,3366,Fruits,MADROÑA,,All Sizes,Arbutus unedo,
367,3367,Fruits,MELON,Glasshouse - Netted varieties,All Sizes,Cucumis melo,
368,3368,Fruits,MELON,Ogen,All Sizes,Cucumis melo,
369,3369,Fruits,NECTARINE,Nectavigne (Red Flesh),All Sizes,Prunus persica,
370,3370,Fruits,ORANGES,Maltaise,All Sizes,Citrus spp.,
371,3371,Fruits,ORANGES,Salustiana,All Sizes,Citrus spp.,
372,3372,Fruits,ORANGES,Navelate (and other late Navel varieties),All Sizes,Citrus spp.,
