id,plu,category,commodity,variety,size,botanical,aka
505,4023,Fruits,GRAPES,Red Seedless - Flame/Ruby/Emperatriz,All Sizes,Vitis vinifera,
506,4024,Fruits,PEARS,Bartlett/Williams/WBC,Small,Pyrus spp.,
507,4025,Fruits,PEARS,Anjou,Small,Pyrus spp.,
508,4026,Fruits,PEARS,Bosc/Beurre Bosc,Small,Pyrus spp.,
509,4027,Fruits,GRAPEFRUIT,"Ruby/Red/Pink (includes Ray Ruby, Ruby, Ruby Red)",Small,Citrus paradisi,
510,4028,Fruits,BERRIES,Strawberries,Pint,Fragaria ananassa,
511,4029,Fruits,PINEAPPLE,,Small,Ananas comosus,
512,4030,Fruits,KIWIFRUIT,Regular,All Sizes,Actinidia deliciosa,
513,4031,Fruits,MELON,Watermelon - Red   ,All Sizes,Citrullus lanatus,
514,4032,Fruits,MELON,"Watermelon - Red, Seedless",All Sizes,Citrullus lanatus,
515,4033,Fruits,LEMONS,,Small,Citrus limon,
516,4034,Fruits,MELON,Honeydew/White Honeydew,Large,Cucumis melo,
517,4035,Fruits,NECTARINE,Yellow Flesh,Small,Prunus persica,
518,4036,Fruits,NECTARINE,Yellow Flesh,Large,Prunus persica,
519,4037,Fruits,PEACHES,Yellow Flesh,Small,Prunus persica,
520,4038,Fruits,PEACHES,Yellow Flesh,Large,Prunus persica,
521,4039,Fruits,PLUMS,"Black (Includes Ambra, Black Beaut, Prima Black, Blackamber, Black Torch, Catalina, Challenger, Black Diamond, Friar, Royal Diamond, Black Knight, Freedom, Black Flame, Howard Sun, Angeleno)",Small,Prunus spp.,
522,4040,Fruits,PLUMS,"Black (Includes Ambra, Black Beaut, Prima Black, Blackamber, Black Torch, Catalina, Challenger, Black Diamond, Friar, Royal Diamond, Black Knight, Freedom, Black Flame, Howard Sun, Angeleno)",Large,Prunus spp.,
523,4041,Fruits,PLUMS,"Red (Includes Santa Rosa, Late Santa Rosa, Red Beaut, Rich Red, Spring Beaut, First Beaut, Royal Red, Red Jewel, Rose Zee, Royal Zee, Ace, Aleta Rose, Burgandy, July Santa Rosa, Frontier, Fortune, Grand Rosa, Red Lane, Red Rosa, Casselman, Autumn Rosa, Mi",Small,Prunus spp.,
524,4042,Fruits,PLUMS,"Red (Includes Santa Rosa, Late Santa Rosa, Red Beaut, Rich Red, Spring Beaut, First Beaut, Royal Red, Red Jewel, Rose Zee, Royal Zee, Ace, Aleta Rose, Burgandy, July Santa Rosa, Frontier, Fortune, Grand Rosa, Red Lane, Red Rosa, Casselman, Autumn Rosa, Mi",Large,Prunus spp.,
525,4043,Fruits,PEACHES,Yellow Flesh - Tree Ripened/Ready-to-eat,Small,Prunus persica,
526,4044,Fruits,PEACHES,Yellow Flesh - Tree Ripened/Ready-to-eat,Large,Prunus persica,
527,4045,Fruits,CHERRIES,Regular/Red/Black,All Sizes,Prunus avium,
528,4046,Fruits,AVOCADOS,Hass,Small,Persea americana,
529,4047,Fruits,GRAPEFRUIT,"Ruby/Red/Pink (Includes Ray Ruby, Ruby, Ruby Red)",Small,Citrus paradisi,
530,4048,Fruits,LIMES,"Regular (incl. Persian, Tahiti & Bearss)",All Sizes,Citrus latifolia,
531,4049,Fruits,MELON,Cantaloupe/Rockmelon,Small,Cucumis melo,
532,4050,Fruits,MELON,Cantaloupe/Rockmelon,Large,Cucumis melo,
533,4051,Fruits,MANGO,"Red (Includes Tommy Atkins, Kent, Palmer, Vandyke, Edward,Hayden)",Small,Mangifera indica,
534,4052,Fruits,PAPAYA/PAWPAW,Regular,Small,Carica papaya,
535,4053,Fruits,LEMONS,,Large,Citrus limon,
536,4054,Fruits,BERRIES,Raspberries - Red,All Sizes,Rubus idaeus,
537,4055,Fruits,TANGERINES/MANDARINS,,All Sizes,Citrus spp.,
538,4056,Fruits,GRAPES,Blue/Black Seedless (All other varieties not listed [including Beauty and Autumn Royal]),All Sizes,Vitis vinifera,
539,4057,Fruits,APPLES,Haralson,Small,Malus domestica,
540,4058,Fruits,APPLES,Haralson,Large,Malus domestica,
541,4060,Vegetables,BROCCOLI,,All Sizes,Brassica oleracea,
542,4061,Vegetables,LETTUCE,Iceberg,All Sizes,Lactuca sativa,
543,4062,Vegetables,CUCUMBER,Green/Ridge/Short,All Sizes,Cucumis sativus,
544,4063,Vegetables,TOMATOES,Regular - Red,Small,Lycopersicon esculenta,
545,4064,Vegetables,TOMATOES,Regular - Red,Large,Lycopersicon esculenta,
546,4065,Vegetables,PEPPERS (CAPSICUMS),"Bell, Field Grown - Green",Large,Capsicum spp,
547,4066,Vegetables,BEANS,Green/French,All Sizes,Phaseolus vulgaris,
548,4067,Vegetables,SQUASH,Zucchini/Courgette,All Sizes,C.pepo,
549,4068,Vegetables,ONIONS,Green (Scallions)/Spring,All Sizes,Allium spp.,
550,4069,Vegetables,CABBAGE,Green,All Sizes,Brassica oleracea,
551,4070,Vegetables,CELERY,Bunch,Small,,
552,4071,Vegetables,CELERY,Bunch,Small,,
553,4072,Vegetables,POTATO,Russet,All Sizes,Solanum tuberosum,
554,4073,Vegetables,POTATO,Red,All Sizes,Solanum tuberosum,
555,4074,Vegetables,SWEET POTATO/YAM/KUMARA,Red/Orangy Red Flesh,Small,Ipomoea batato,
556,4075,Vegetables,LETTUCE,Red Leaf,All Sizes,Lactuca sativa,
557,4076,Vegetables,LETTUCE,Green Leaf,All Sizes,Lactuca sativa,
558,4077,Vegetables,CORN,"Sweet Corn, White",All Sizes,Zea mays,
559,4078,Vegetables,CORN,"Sweet Corn, Yellow",All Sizes,Zea mays,
560,4079,Vegetables,CAULIFLOWER,,Small,Brassica oleracea,
561,4080,Vegetables,ASPARAGUS,Green,Small,Asparagus officinalis,
562,4081,Vegetables,EGGPLANT (AUBERGINE),Regular,All Sizes,Solanum melongena,
563,4082,Vegetables,ONIONS,Red,All Sizes,Allium spp.,
564,4083,Vegetables,POTATO,White,All Sizes,Solanum tuberosum,
565,4084,Vegetables,ARTICHOKES,,Large,Cynara scolymus,
566,4085,Vegetables,MUSHROOMS,Regular,Large,Agaricus bisporus,
567,4086,Vegetables,SQUASH,Yellow Zucchini/Gold Bar/Yellow Courgette,All Sizes,C. pepo/C. maxima,
568,4087,Vegetables,TOMATOES,Plum/Italian/Saladette/Roma - Red,All Sizes,Lycopersicon esculenta,
569,4088,Vegetables,PEPPERS (CAPSICUMS),"Bell, Field Grown - Red",All Sizes,Capsicum spp,
570,4089,Vegetables,RADISH,Bunched Red,All Sizes,Raphanus sativus,
571,4090,Vegetables,SPINACH,Regular/Bunched,All Sizes,,
572,4091,Vegetables,SWEET POTATO/YAM/KUMARA,White,All Sizes,Ipomoea batato,
573,4092,Vegetables,PEAS,Chinese Snow Pea/Pea Pod/Mange Tout,All Sizes,Pisum sativum,
574,4093,Vegetables,ONIONS,Yellow/Brown,Large,Allium spp.,
575,4094,Vegetables,CARROTS,Bunch,All Sizes,Daucus carota,
576,4095,Vegetables,TURNIP,Yellow,All Sizes,Brassica rapa,
577,4096,Fruits,APPLES,Ginger Gold,Large,Malus domestica,
578,4097,Fruits,APPLES,Ginger Gold,Small,Malus domestica,
579,4098,Fruits,APPLES,Akane,Small,Malus domestica,
580,4099,Fruits,APPLES,Akane,Large,Malus domestica,
581,4100,Fruits,APPLES,Fireside,Small,Malus domestica,
582,4101,Fruits,APPLES,Braeburn,Small,Malus domestica,
583,4102,Fruits,APPLES,Fireside,Large,Malus domestica,
584,4103,Fruits,APPLES,Braeburn,Large,Malus domestica,
585,4104,Fruits,APPLES,Cortland,Small,Malus domestica,
586,4105,Fruits,APPLES,Cox Orange Pippin,All Sizes,Malus domestica,
587,4106,Fruits,APPLES,Cortland,Large,Malus domestica,
588,4107,Fruits,APPLES,Crab,All Sizes,Malus domestica,
589,4108,Fruits,APPLES,Crispin/Mutsu,Small,Malus domestica,
590,4109,Fruits,APPLES,Crispin/Mutsu,Small,Malus domestica,
591,4110,Fruits,APPLES,Crispin/Mutsu,Large,Malus domestica,
592,4111,Fruits,APPLES,Crispin/Mutsu,Large,Malus domestica,
593,4112,Fruits,APPLES,Regent,Small,Malus domestica,
594,4113,Fruits,APPLES,Criterion,Small,Malus domestica,
595,4114,Fruits,APPLES,Regent,Large,Malus domestica,
596,4115,Fruits,APPLES,Criterion,Large,Malus domestica,
597,4116,Fruits,APPLES,Early,Small,Malus domestica,
598,4117,Fruits,APPLES,Early,Small,Malus domestica,
599,4118,Fruits,APPLES,Early,Large,Malus domestica,
600,4119,Fruits,APPLES,Early,Large,Malus domestica,
601,4120,Fruits,APPLES,Fiesta,All Sizes,Malus domestica,
602,4121,Fruits,APPLES,Elstar,Small,Malus domestica,
603,4122,Fruits,APPLES,Sciros,Small,Malus domestica,Pacific Rose
604,4123,Fruits,APPLES,Elstar,Large,Malus domestica,
605,4124,Fruits,APPLES,Empire,Small,Malus domestica,
606,4125,Fruits,APPLES,Empire,Small,Malus domestica,
607,4126,Fruits,APPLES,Empire,Large,Malus domestica,
608,4127,Fruits,APPLES,Empire,Large,Malus domestica,
609,4128,Fruits,APPLES,Cripps Pink,Small,Malus domestica,Pink Lady
610,4129,Fruits,APPLES,Fuji,Small,Malus domestica,
611,4130,Fruits,APPLES,Cripps Pink,Large,Malus domestica,Pink Lady
612,4131,Fruits,APPLES,Fuji,Large,Malus domestica,
613,4132,Fruits,APPLES,Gala,Small,Malus domestica,
614,4133,Fruits,APPLES,Gala,Small,Malus domestica,
615,4134,Fruits,APPLES,Gala,Large,Malus domestica,
616,4135,Fruits,APPLES,Gala,Large,Malus domestica,
617,4136,Fruits,APPLES,Golden Delicious,Small,Malus domestica,
618,4137,Fruits,APPLES,Golden Delicious,Large,Malus domestica,
619,4138,Fruits,APPLES,Granny Smith,Small,Malus domestica,
620,4139,Fruits,APPLES,Granny Smith,Small,Malus domestica,
621,4140,Fruits,APPLES,Idared,Small,Malus domestica,
622,4141,Fruits,APPLES,Jonamac,Small,Malus domestica,
623,4142,Fruits,APPLES,Idared,Large,Malus domestica,
624,4143,Fruits,APPLES,Jonamac,Large,Malus domestica,
625,4144,Fruits,APPLES,Jonagold,Small,Malus domestica,
626,4145,Fruits,APPLES,Jonagold,Small,Malus domestica,
627,4146,Fruits,APPLES,Jonagold,Large,Malus domestica,
628,4147,Fruits,APPLES,Jonagold,Large,Malus domestica,
629,4148,Fruits,APPLES,Jonathan,Small,Malus domestica,
630,4149,Fruits,APPLES,Jonathan,Small,Malus domestica,
631,4150,Fruits,APPLES,Jonathan,Large,Malus domestica,
632,4151,Fruits,APPLES,Jonathan,Large,Malus domestica,
633,4152,Fruits,APPLES,McIntosh,Small,Malus domestica,
634,4153,Fruits,APPLES,McIntosh,Small,Malus domestica,
635,4154,Fruits,APPLES,McIntosh,Large,Malus domestica,
636,4155,Fruits,APPLES,Paulared,Small,Malus domestica,
637,4156,Fruits,APPLES,Gravenstein,Small,Malus domestica,
638,4157,Fruits,APPLES,Paulared,Large,Malus domestica,
639,4158,Fruits,APPLES,Gravenstein,Large,Malus domestica,
640,4159,Vegetables,ONIONS,Vidalia,All Sizes,Allium spp.,
641,4160,Fruits,APPLES,Pippin,Small,Malus domestica,
642,4161,Vegetables,ONIONS,Texas Sweet,All Sizes,Allium spp.,
643,4162,Fruits,APPLES,Pippin,Large,Malus domestica,
644,4163,Vegetables,ONIONS,Walla Walla,All Sizes,Allium spp.,
645,4164,Vegetables,ONIONS,Maui,All Sizes,Allium spp.,
646,4165,Vegetables,ONIONS,California Sweet,All Sizes,Allium spp.,
647,4166,Vegetables,ONIONS,Other Sweet,All Sizes,Allium spp.,
648,4167,Fruits,APPLES,Red Delicious,Small,Malus domestica,
649,4168,Fruits,APPLES,Red Delicious,Large,Malus domestica,
650,4169,Fruits,APPLES,Rome,Small,Malus domestica,
651,4170,Fruits,APPLES,Rome,Small,Malus domestica,
652,4171,Fruits,APPLES,Rome,Large,Malus domestica,
653,4172,Fruits,APPLES,Rome,Large,Malus domestica,
654,4173,Fruits,APPLES,Royal Gala,Small,Malus domestica,
655,4174,Fruits,APPLES,Royal Gala,Large,Malus domestica,
656,4176,Fruits,APPLES,Southern Snap,All Sizes,Malus domestica,
657,4177,Fruits,APPLES,Spartan,Small,Malus domestica,
658,4178,Fruits,APPLES,Spartan,Small,Malus domestica,
659,4179,Fruits,APPLES,Spartan,Large,Malus domestica,
660,4180,Fruits,APPLES,Spartan,Large,Malus domestica,
661,4181,Fruits,APPLES,Stayman,Small,Malus domestica,
662,4182,Fruits,APPLES,Sturmer Pippin,All Sizes,Malus domestica,
663,4183,Fruits,APPLES,Stayman,Large,Malus domestica,
664,4185,Fruits,APPLES,York,Small,Malus domestica,
665,4186,Fruits,BANANAS,Yellow (includes Cavendish),Small,Musa spp.,
666,4187,Fruits,APPLES,York,Large,Malus domestica,
667,4188,Fruits,NECTARINE,"White Flesh, Tree Ripened, Ready-to-eat",Small,Prunus persica,
668,4189,Fruits,APPLES,Winesap,Small,Malus domestica,
669,4190,Fruits,APPLES,Winesap,Small,Malus domestica,
670,4191,Fruits,APPLES,Winesap,Large,Malus domestica,
671,4192,Fruits,APPLES,Winesap,Large,Malus domestica,
697,4218,Fruits,APRICOTS,Regular,Small,Prunus armeniaca,
699,4220,Fruits,ATEMOYAS,,All Sizes,Annona spp.,
700,4221,Fruits,AVOCADOS,Green,Small,Persea americana,
701,4222,Fruits,AVOCADOS,Green,Small,Persea americana,
702,4223,Fruits,AVOCADOS,Green,Large,Persea americana,
703,4224,Fruits,AVOCADOS,Green,Large,Persea americana,
704,4225,Fruits,AVOCADOS,Hass,Large,Persea americana,
705,4226,Fruits,AVOCADOS,Cocktail/Seedless,All Sizes,Musa spp.,
708,4229,Fruits,BANANAS,Burro,All Sizes,Musa spp,
709,4230,Fruits,BANANAS,Dominique,All Sizes,Musa spp.,
710,4231,Fruits,BANANAS,Green,All Sizes,Musa spp.,
711,4232,Fruits,BANANAS,Leaves,All Sizes,Musa spp.,
712,4233,Fruits,BANANAS,Apple/Manzano,All Sizes,Musa spp.,
713,4234,Fruits,BANANAS,baby/Nino,All Sizes,Musa spp.,
714,4235,Fruits,BANANAS,Plantain/Macho,All Sizes,Musa ssp,
715,4236,Fruits,BANANAS,Red,All Sizes,Musa spp.,
715,4237,Fruits,BANANAS,Yellow,All Sizes,Musa spp.,
718,4239,Fruits,BERRIES,Blackberries,All Sizes,Rubus fruticosus,
719,4240,Fruits,BERRIES,Blueberries,All Sizes,Vaccinium spp.,
720,4241,Fruits,BERRIES,Boysenberries,All Sizes,Rubus spp.,
721,4242,Fruits,BERRIES,Cranberries,All Sizes,Vaccinium macrocarpon,
722,4243,Fruits,BERRIES,Gooseberries,All Sizes,Ribes uva-crispa,
723,4244,Fruits,BERRIES,Raspberries - Black,All Sizes,R.occidentalis,
724,4245,Fruits,BERRIES,Raspberries - Golden,All Sizes,Rubus idaeus,
725,4246,Fruits,BERRIES,Strawberries,Pint,Fragaria ananassa,
726,4247,Fruits,BERRIES,Strawberries,Quart,Fragaria ananassa,
727,4248,Fruits,BERRIES,Strawberries,Quart,Fragaria ananassa,
728,4249,Fruits,BERRIES,Strawberries,Bulk 3-pack (3 pints),Fragaria ananassa,
729,4250,Fruits,BERRIES,Strawberries,Bulk 3-pack (3 pints),Fragaria ananassa,
730,4251,Fruits,BERRIES,Long-stemmed Strawberries,All Sizes,Fragaria ananassa,
733,4254,Fruits,BREADFRUIT,,All Sizes,Artocarpus altilis,
734,4255,Fruits,CACTUS PEAR (PRICKLY PEAR),,All Sizes,Opuntia spp.,
735,4256,Fruits,CARAMBOLA (STARFRUIT),,All Sizes,Averrhoa carambola,
736,4257,Fruits,CHERIMOYA,,All Sizes,Annona cherimola,
737,4258,Fruits,CHERRIES,Golden/Rainier/White,All Sizes,Prunus avium,
739,4260,Fruits,COCONUTS,In Husk/Waternut,All Sizes,Cocos nucifera,
740,4261,Fruits,COCONUTS,Husked,All Sizes,Cocos nucifera,
742,4263,Fruits,DATES,Fresh - Regular,All Sizes,Phoenix dactylifera,
744,4265,Fruits,FEIJOA,,All Sizes,Acca sellowiana,
745,4266,Fruits,FIGS,Black,All Sizes,Ficus carica,
746,4267,Fruits,FIGS,Brown,All Sizes,Ficus carica,
747,4268,Fruits,FIGS,White/Green,All Sizes,Ficus carica,
749,4270,Fruits,GRAPES,Blue/Black Seeded (Ribier/Exotic/Niabel),All Sizes,Vitis vinifera,
750,4271,Fruits,GRAPES,Champagne,All Sizes,Vitis vinifera,
751,4272,Fruits,GRAPES,Concord,All Sizes,V.labrusca,
752,4273,Fruits,GRAPES,Red Seeded (Cardinal/Emperor/Queen/Christmas Rose),All Sizes,Vitis vinifera,
753,4274,Fruits,GRAPES,White/Green Seeded (All others not listed),All Sizes,Vitis vinifera,
758,4279,Fruits,GRAPEFRUIT,Pummelo - White,All Sizes,C.grandis,
759,4280,Fruits,GRAPEFRUIT,"Ruby/Red/Pink (Includes Ray Ruby, Ray, Ruby Red)",Small,Citrus paradisi,
760,4281,Fruits,GRAPEFRUIT,"Ruby/Red/Pink (ncludes Ray Ruby, Ruby, Ruby Red)",Large,Citrus paradisi,
761,4282,Fruits,GRAPEFRUIT,"Ruby/Red/Pink (Includes Ray Ruby, Ruby, Ruby Red)",Large,Citrus paradisi,
762,4283,Fruits,GRAPEFRUIT,"Ruby/Red/Pink (Includes Ray Ruby, Ray, Ruby Red)",Large,Citrus paradisi,
763,4284,Fruits,GRAPEFRUIT,Deep Red,Small,Citrus paradisi,
764,4285,Fruits,GRAPEFRUIT,Deep Red,Small,Citrus paradisi,
765,4286,Fruits,GRAPEFRUIT,Deep Red,Small,Citrus paradisi,
766,4287,Fruits,GRAPEFRUIT,Deep Red,Large,Citrus paradisi,
767,4288,Fruits,GRAPEFRUIT,Deep Red,Large,Citrus paradisi,
768,4289,Fruits,GRAPEFRUIT,Deep Red,Large,Citrus paradisi,
769,4290,Fruits,GRAPEFRUIT,White,Small,Citrus paradisi,
770,4291,Fruits,GRAPEFRUIT,White,Small,Citrus paradisi,
771,4292,Fruits,GRAPEFRUIT,White,Small,Citrus paradisi,
772,4293,Fruits,GRAPEFRUIT,White,Large,Citrus paradisi,
773,4294,Fruits,GRAPEFRUIT,White,Large,Citrus paradisi,
774,4295,Fruits,GRAPEFRUIT,White,Large,Citrus paradisi,
778,4299,Fruits,GUAVA,,All Sizes,Psidium guajava,
779,4300,Fruits,HOMLI FRUIT,,All Sizes,,
781,4302,Fruits,KIWANO (HORNED MELON),,All Sizes,Cucumis metuliferus,
782,4303,Fruits,KUMQUAT,,All Sizes,Fortunella spp.,
784,4305,Fruits,LIMES,Key (incl. Mexican & West Indian),All Sizes,Citrus aurantifolia,
786,4307,Fruits,LONGAN,,All Sizes,Dimocarpus longan,
787,4308,Fruits,LOQUATS,,All Sizes,Eribotyra japonica,
788,4309,Fruits,LYCHEES,,All Sizes,Litchi chinensis,
789,4310,Fruits,MAMEY,,All Sizes,Pouteria sapota,
790,4311,Fruits,MANGO,Green (Includes Keitt and Francis),Small,Mangifera indica,(Includes Keitt and Francis varieties)
791,4312,Fruits,MANGO,"Yellow (Includes Oro, Ataulfo/Honey Manila)",Small,Mangifera indica,
796,4317,Fruits,MELON,Canary/Yellow Honeydew,All Sizes,Cucumis melo,
797,4318,Fruits,MELON,Cantaloupe/Muskmelon,Small,Cucumis melo,
798,4319,Fruits,MELON,Cantaloupe/Muskmelon,Large,Cucumis melo,
799,4320,Fruits,MELON,Casaba,All Sizes,Cucumis melo,
800,4321,Fruits,MELON,Cinnabar,All Sizes,Cucumis melo,
801,4322,Fruits,MELON,Crenshaw,All Sizes,Cucumis melo,
802,4323,Fruits,BERRIES,Strawberries,Bulk,Fragaria ananassa,
803,4324,Fruits,MELON,French Afternoon,All Sizes,Cucumis melo,
804,4325,Fruits,MELON,French Breakfast,All Sizes,Cucumis melo,
805,4326,Fruits,MELON,Galia,All Sizes,Cucumis melo,
806,4327,Fruits,MELON,Orange Flesh/Cantaline,All Sizes,Cucumis melo,
807,4328,Fruits,LIMEQUATS,,All Sizes,Citrus spp.,
808,4329,Fruits,MELON,Honeydew/White Honeydew,Small,Cucumis melo,
809,4330,Fruits,MELON,Mayan,All Sizes,Cucumis melo,
810,4331,Fruits,MELON,Mickey Lee Watermelon/Sugarbaby,All Sizes,Cucumis melo,
811,4332,Fruits,MELON,Muskmelon,All Sizes,Cucumis melo,
812,4333,Fruits,MELON,Pepino,All Sizes,Cucumis melo,
813,4334,Fruits,MELON,Persian,All Sizes,Cucumis melo,
814,4335,Fruits,MELON,Prince,All Sizes,Cucumis melo,
815,4336,Fruits,MELON,Santa Claus,All Sizes,Cucumis melo,
816,4337,Fruits,MELON,Saticoy,All Sizes,Cucumis melo,
817,4338,Fruits,MELON,Sharlin,All Sizes,Cucumis melo,
818,4339,Fruits,MELON,Spanish/Tendral,All Sizes,Cucumis melo,
819,4340,Fruits,MELON,Watermelon - Yellow,All Sizes,Citrullus lanatus,
820,4341,Fruits,MELON,"Watermelon - Yellow, Seedless",All Sizes,Citrullus lanatus,
856,4377,Fruits,NECTARINE,"Yellow Flesh, Tree Ripened, Ready-to-eat",Small,Prunus persica,
857,4378,Fruits,NECTARINE,"Yellow Flesh, Tree Ripened, Ready-to-eat",Large,Prunus persica,
860,4381,Fruits,ORANGES,Blood,All Sizes,Citrus spp.,
861,4382,Fruits,ORANGES,Juice,All Sizes,Citrus spp.,
862,4383,Fruits,TANGELO,Minneola,All Sizes,Citro paradisi X,
863,4384,Fruits,ORANGES,Navel,Small,Citrus spp.,
864,4385,Fruits,ORANGES,Navel,Large,Citrus spp.,
865,4386,Fruits,ORANGES,Temple,Small,Citrus spp.,
866,4387,Fruits,ORANGES,Temple,Large,Citrus spp.,
867,4388,Fruits,ORANGES,Valencia,Large,Citrus spp.,
868,4388,Fruits,ORANGES,Valencia,Large,Citrus spp.,
874,4394,Fruits,PAPAYA/PAWPAW,Regular,Large,Carica papaya,
875,4395,Fruits,PAPAYA/PAWPAW,Cooking/Mexican,All Sizes,Carica papaya,
877,4397,Fruits,PASSION FRUIT,Purple,All Sizes,Passiflora edulis,
879,4399,Fruits,PEACHES,Indian,All Sizes,Prunus persica,
880,4400,Fruits,PEACHES,White Flesh,Small,Prunus persica,
881,4401,Fruits,PEACHES,White Flesh,Large,Prunus persica,
882,4402,Fruits,PEACHES,Yellow Flesh,Small,Prunus persica,
883,4403,Fruits,PEACHES,Yellow Flesh,Large,Prunus persica,
886,4406,Fruits,PEARS,Asian/Nashi - White,All Sizes,Pyrus pyrifolia,
887,4407,Fruits,PEARS,Asian/Nashi - Yellow,All Sizes,Pyrus pyrifolia,
888,4408,Fruits,PEARS,Asian/Nashi - Brown,All Sizes,Pyrus pyrifolia,
889,4409,Fruits,PEARS,Bartlett/Williams/WBC,Large,Pyrus spp.,
890,4410,Fruits,PEARS,Bartlett - Red/Red Sensation,All Sizes,Pyrus spp.,
891,4411,Fruits,PEARS,Bosc/Beurre Bosc,Small,Pyrus spp.,
892,4412,Fruits,PEARS,Bosc/Beurre Bosc,Large,Pyrus spp.,
893,4413,Fruits,PEARS,Bosc/Beurre Bosc,Large,Pyrus spp.,
894,4414,Fruits,PEARS,Comice/ Doyenne du Comice,All Sizes,Pyrus spp.,
895,4415,Fruits,PEARS,Red,All Sizes,Pyrus spp.,
896,4416,Fruits,PEARS,Anjou,Large,Pyrus spp.,D'Anjou
897,4417,Fruits,PEARS,Anjou - Red,All Sizes,Pyrus spp.,D'Anjou
898,4418,Fruits,PEARS,Forelle/Corella,All Sizes,Pyrus spp.,
899,4419,Fruits,PEARS,French,All Sizes,Pyrus spp.,
900,4420,Fruits,PEARS,King Royal,All Sizes,Pyrus spp.,
901,4421,Fruits,PEARS,Packham/Packhams Triumph,All Sizes,Pyrus spp.,
902,4422,Fruits,PEARS,Seckel,All Sizes,Pyrus spp.,
903,4423,Fruits,PEARS,Tree Ripened,All Sizes,Pyrus spp.,
904,4424,Fruits,PEARS,Winter Nelis/Honey,All Sizes,Pyrus spp.,
907,4427,Fruits,PERSIMMON,Regular (American Persimmon),All Sizes,Diospyros spp.,
908,4428,Fruits,PERSIMMON,Japanese/Sharonfruit (Kaki),All Sizes,Diospyros spp.,
910,4430,Fruits,PINEAPPLE,,Large,Ananas comosus,
911,4431,Fruits,PINEAPPLE,Jet Fresh,Small,Ananas comosus,
912,4432,Fruits,PINEAPPLE,Jet Fresh,Large,Ananas comosus,
914,4434,Fruits,PLUMS,"Green (Includes Dolly, Kelsey, Wickson)",Small,Prunus spp.,
915,4435,Fruits,PLUMS,"Green (Includes Dolly, Kelsey, Wickson)",Large,Prunus spp.,
916,4436,Fruits,PLUMS,Italian Prune/Sugar,All Sizes,Prunus spp.,
917,4437,Fruits,PLUMS,"Purple (Includes Queen Rosa, Laroda, Nublana, Queen Ann, Simka, El Dorado)",Small,Prunus spp.,
918,4438,Fruits,PLUMS,"Purple (Includes Queen Rosa, Laroda, Nublana, Queen Ann, Simka, El Dorado) ",Large,Prunus spp.,
919,4439,Fruits,PLUMS,Tree Ripened,Small,Prunus spp.,
920,4440,Fruits,PLUMS,Tree Ripened,Large,Prunus spp.,
921,4441,Fruits,PLUMS,Yellow (Includes Golden Globe),Small,Prunus spp.,
922,4442,Fruits,PLUMS,Yellow (Includes Golden Globe),Large,Prunus spp.,
925,4445,Fruits,POMEGRANATE,,Small,Punica granatum,
926,4447,Fruits,QUINCE,,All Sizes,Cydonia oblonga,
927,4448,Fruits,TAMARIND,,All Sizes,Tamarindus indica,
928,4449,Fruits,TANGERINES/MANDARINS,Sunburst,All Sizes,Citrus spp.,
929,4450,Fruits,TANGERINES/MANDARINS,Clementine (includes Fortune),All Sizes,Citrus spp.,
930,4451,Fruits,TANGERINES/MANDARINS,Dancy,All Sizes,Citrus reticulata,
931,4452,Fruits,TANGERINES/MANDARINS,Fairchild,All Sizes,Citrus spp. reticulata blanco,
932,4453,Fruits,TANGERINES/MANDARINS,Honey/Murcott,All Sizes,Citrus spp.,
933,4454,Fruits,TANGERINES/MANDARINS,Kinnow,All Sizes,Citrus spp.,
934,4455,Fruits,TANGERINES/MANDARINS,Mandarin/Royal,All Sizes,Citrus spp.,
935,4456,Fruits,TANGELO,,All Sizes,Citro paradisi X,
938,4459,Fruits,TANGELO,Jamaican,All Sizes,Citro paradisi X,Ugli®
949,4470,Fruits,SALAD BAR,,All Sizes,,
970,4491,Fruits,GRAPEFRUIT,"Ruby/Red/Pink (includes Ray Ruby, Ruby, Ruby Red)",Extra Large,Citrus paradisi,
971,4492,Fruits,GRAPEFRUIT,"Ruby/Red/Pink (includes Ray Ruby, Ruby, Ruby Red)",Extra Large,Citrus paradisi,
972,4493,Fruits,GRAPEFRUIT,"Ruby/Red/Pink (Includes Ray Ruby, Ruby, Ruby Red)",Extra Large,Citrus paradisi,
973,4494,Fruits,GRAPEFRUIT,Deep Red,Extra Large,Citrus paradisi,
974,4495,Fruits,GRAPEFRUIT,Deep Red,Extra Large,Citrus paradisi,
975,4496,Fruits,GRAPEFRUIT,Deep Red,Extra Large,Citrus paradisi,
976,4497,Fruits,GRAPES,Sugraone,All Sizes,Vitis vinifera,SUPERIOR SEEDLESS® brand
977,4498,Fruits,GRAPES,White/Green Seedless (All others not listed [including Autumn King]),All Sizes,Vitis vinifera,
978,4499,Fruits,GRAPES,Crimson/Majestic,All Sizes,Vitis vinifera,
993,4514,Vegetables,ALFALFA SPROUTS,,All Sizes,Medicago sativa,
994,4515,Herbs,FENNEL,Florence/Sweet Fennel/Fennel Bulb,All Sizes,Foeniculum vulgare,
995,4516,Vegetables,ARTICHOKES,,Small,Cynara scolymus,
996,4517,Vegetables,ARTICHOKES,Purple,Small,Cynara scolymus,
997,4518,Vegetables,ARTICHOKES,Purple,Large,Cynara scolymus,
